Time (s);Electrode;Attention;Meditation;Sampling Rate
0.000000;93.000000;50.000000;63.000000;512
0.001953;107.000000;50.000000;63.000000;
0.003906;121.000000;50.000000;63.000000;
0.005859;122.000000;50.000000;63.000000;
0.007813;115.000000;50.000000;63.000000;
0.009766;116.000000;50.000000;63.000000;
0.011719;105.000000;50.000000;63.000000;
0.013672;81.000000;50.000000;63.000000;
0.015625;71.000000;50.000000;63.000000;
0.017578;91.000000;50.000000;63.000000;
0.019531;102.000000;50.000000;63.000000;
0.021484;91.000000;50.000000;63.000000;
0.023438;81.000000;50.000000;63.000000;
0.025391;82.000000;50.000000;63.000000;
0.027344;82.000000;50.000000;63.000000;
0.029297;58.000000;50.000000;63.000000;
0.031250;24.000000;50.000000;63.000000;
0.033203;18.000000;50.000000;63.000000;
0.035156;54.000000;50.000000;63.000000;
0.037109;91.000000;50.000000;63.000000;
0.039063;91.000000;50.000000;63.000000;
0.041016;74.000000;50.000000;63.000000;
0.042969;71.000000;50.000000;63.000000;
0.044922;87.000000;50.000000;63.000000;
0.046875;107.000000;50.000000;63.000000;
0.048828;115.000000;50.000000;63.000000;
0.050781;113.000000;50.000000;63.000000;
0.052734;99.000000;50.000000;63.000000;
0.054688;85.000000;50.000000;63.000000;
0.056641;83.000000;50.000000;63.000000;
0.058594;83.000000;50.000000;63.000000;
0.060547;75.000000;50.000000;63.000000;
0.062500;57.000000;50.000000;63.000000;
0.064453;37.000000;50.000000;63.000000;
0.066406;20.000000;50.000000;63.000000;
0.068359;11.000000;50.000000;63.000000;
0.070313;38.000000;50.000000;63.000000;
0.072266;58.000000;50.000000;63.000000;
0.074219;67.000000;50.000000;63.000000;
0.076172;68.000000;50.000000;63.000000;
0.078125;56.000000;50.000000;63.000000;
0.080078;41.000000;50.000000;63.000000;
0.082031;36.000000;50.000000;63.000000;
0.083984;61.000000;50.000000;63.000000;
0.085938;80.000000;50.000000;63.000000;
0.087891;85.000000;50.000000;63.000000;
0.089844;64.000000;50.000000;63.000000;
0.091797;53.000000;50.000000;63.000000;
0.093750;51.000000;50.000000;63.000000;
0.095703;56.000000;50.000000;63.000000;
0.097656;55.000000;50.000000;63.000000;
0.099609;51.000000;50.000000;63.000000;
0.101563;54.000000;50.000000;63.000000;
0.103516;80.000000;50.000000;63.000000;
0.105469;87.000000;50.000000;63.000000;
0.107422;69.000000;50.000000;63.000000;
0.109375;64.000000;50.000000;63.000000;
0.111328;74.000000;50.000000;63.000000;
0.113281;98.000000;50.000000;63.000000;
0.115234;105.000000;50.000000;63.000000;
0.117188;96.000000;50.000000;63.000000;
0.119141;100.000000;50.000000;63.000000;
0.121094;98.000000;50.000000;63.000000;
0.123047;77.000000;50.000000;63.000000;
0.125000;75.000000;50.000000;63.000000;
0.126953;81.000000;50.000000;63.000000;
0.128906;67.000000;50.000000;63.000000;
0.130859;51.000000;50.000000;63.000000;
0.132813;33.000000;50.000000;63.000000;
0.134766;27.000000;50.000000;63.000000;
0.136719;38.000000;50.000000;63.000000;
0.138672;43.000000;50.000000;63.000000;
0.140625;39.000000;50.000000;63.000000;
0.142578;28.000000;50.000000;63.000000;
0.144531;44.000000;50.000000;63.000000;
0.146484;84.000000;50.000000;63.000000;
0.148438;104.000000;50.000000;63.000000;
0.150391;102.000000;50.000000;63.000000;
0.152344;99.000000;50.000000;63.000000;
0.154297;101.000000;50.000000;63.000000;
0.156250;109.000000;50.000000;63.000000;
0.158203;131.000000;50.000000;63.000000;
0.160156;130.000000;50.000000;63.000000;
0.162109;116.000000;50.000000;63.000000;
0.164063;120.000000;50.000000;63.000000;
0.166016;141.000000;50.000000;63.000000;
0.167969;152.000000;50.000000;63.000000;
0.169922;120.000000;50.000000;63.000000;
0.171875;82.000000;50.000000;63.000000;
0.173828;81.000000;50.000000;63.000000;
0.175781;96.000000;50.000000;63.000000;
0.177734;99.000000;50.000000;63.000000;
0.179688;74.000000;50.000000;63.000000;
0.181641;42.000000;50.000000;63.000000;
0.183594;33.000000;50.000000;63.000000;
0.185547;40.000000;50.000000;63.000000;
0.187500;54.000000;50.000000;63.000000;
0.189453;65.000000;50.000000;63.000000;
0.191406;70.000000;50.000000;63.000000;
0.193359;76.000000;50.000000;63.000000;
0.195313;90.000000;50.000000;63.000000;
0.197266;90.000000;50.000000;63.000000;
0.199219;72.000000;50.000000;63.000000;
0.201172;36.000000;50.000000;63.000000;
0.203125;10.000000;50.000000;63.000000;
0.205078;22.000000;50.000000;63.000000;
0.207031;60.000000;50.000000;63.000000;
0.208984;91.000000;50.000000;63.000000;
0.210938;97.000000;50.000000;63.000000;
0.212891;86.000000;50.000000;63.000000;
0.214844;74.000000;50.000000;63.000000;
0.216797;74.000000;50.000000;63.000000;
0.218750;96.000000;50.000000;63.000000;
0.220703;117.000000;50.000000;63.000000;
0.222656;119.000000;50.000000;63.000000;
0.224609;107.000000;50.000000;63.000000;
0.226563;90.000000;50.000000;63.000000;
0.228516;73.000000;50.000000;63.000000;
0.230469;66.000000;50.000000;63.000000;
0.232422;71.000000;50.000000;63.000000;
0.234375;92.000000;50.000000;63.000000;
0.236328;120.000000;50.000000;63.000000;
0.238281;129.000000;50.000000;63.000000;
0.240234;132.000000;50.000000;63.000000;
0.242188;116.000000;50.000000;63.000000;
0.244141;100.000000;50.000000;63.000000;
0.246094;105.000000;50.000000;63.000000;
0.248047;108.000000;50.000000;63.000000;
0.250000;91.000000;50.000000;63.000000;
0.251953;69.000000;50.000000;63.000000;
0.253906;56.000000;50.000000;63.000000;
0.255859;55.000000;50.000000;63.000000;
0.257813;45.000000;50.000000;63.000000;
0.259766;48.000000;50.000000;63.000000;
0.261719;51.000000;50.000000;63.000000;
0.263672;39.000000;50.000000;63.000000;
0.265625;48.000000;50.000000;63.000000;
0.267578;82.000000;50.000000;63.000000;
0.269531;96.000000;50.000000;63.000000;
