Time (s);Electrode;Attention;Meditation;Sampling Rate
0.000000;-17.000000;41.000000;57.000000;512
0.001953;-30.000000;41.000000;57.000000;
0.003906;-7.000000;41.000000;57.000000;
0.005859;22.000000;41.000000;57.000000;
0.007813;59.000000;41.000000;57.000000;
0.009766;106.000000;41.000000;57.000000;
0.011719;131.000000;41.000000;57.000000;
0.013672;131.000000;41.000000;57.000000;
0.015625;124.000000;41.000000;57.000000;
0.017578;147.000000;41.000000;57.000000;
0.019531;177.000000;41.000000;57.000000;
0.021484;166.000000;41.000000;57.000000;
0.023438;114.000000;41.000000;57.000000;
0.025391;66.000000;41.000000;57.000000;
0.027344;65.000000;41.000000;57.000000;
0.029297;96.000000;41.000000;57.000000;
0.031250;118.000000;41.000000;57.000000;
0.033203;122.000000;41.000000;57.000000;
0.035156;144.000000;41.000000;57.000000;
0.037109;181.000000;41.000000;57.000000;
0.039063;198.000000;41.000000;57.000000;
0.041016;193.000000;41.000000;57.000000;
0.042969;189.000000;41.000000;57.000000;
0.044922;194.000000;41.000000;57.000000;
0.046875;188.000000;41.000000;57.000000;
0.048828;167.000000;41.000000;57.000000;
0.050781;130.000000;41.000000;57.000000;
0.052734;100.000000;41.000000;57.000000;
0.054688;100.000000;41.000000;57.000000;
0.056641;124.000000;41.000000;57.000000;
0.058594;155.000000;41.000000;57.000000;
0.060547;181.000000;41.000000;57.000000;
0.062500;186.000000;41.000000;57.000000;
0.064453;182.000000;41.000000;57.000000;
0.066406;169.000000;41.000000;57.000000;
0.068359;145.000000;41.000000;57.000000;
0.070313;123.000000;41.000000;57.000000;
0.072266;113.000000;41.000000;57.000000;
0.074219;109.000000;41.000000;57.000000;
0.076172;106.000000;41.000000;57.000000;
0.078125;97.000000;41.000000;57.000000;
0.080078;107.000000;41.000000;57.000000;
0.082031;119.000000;41.000000;57.000000;
0.083984;100.000000;41.000000;57.000000;
0.085938;73.000000;41.000000;57.000000;
0.087891;74.000000;41.000000;57.000000;
0.089844;73.000000;41.000000;57.000000;
0.091797;51.000000;41.000000;57.000000;
0.093750;20.000000;41.000000;57.000000;
0.095703;17.000000;41.000000;57.000000;
0.097656;43.000000;41.000000;57.000000;
0.099609;83.000000;41.000000;57.000000;
0.101563;106.000000;41.000000;57.000000;
0.103516;99.000000;41.000000;57.000000;
0.105469;93.000000;41.000000;57.000000;
0.107422;102.000000;41.000000;57.000000;
0.109375;104.000000;41.000000;57.000000;
0.111328;105.000000;41.000000;57.000000;
0.113281;109.000000;41.000000;57.000000;
0.115234;120.000000;41.000000;57.000000;
0.117188;128.000000;41.000000;57.000000;
0.119141;105.000000;41.000000;57.000000;
0.121094;82.000000;41.000000;57.000000;
0.123047;91.000000;41.000000;57.000000;
0.125000;128.000000;41.000000;57.000000;
0.126953;113.000000;41.000000;57.000000;
0.128906;57.000000;41.000000;57.000000;
0.130859;21.000000;41.000000;57.000000;
0.132813;13.000000;41.000000;57.000000;
0.134766;21.000000;41.000000;57.000000;
0.136719;40.000000;41.000000;57.000000;
0.138672;77.000000;41.000000;57.000000;
0.140625;121.000000;41.000000;57.000000;
0.142578;136.000000;41.000000;57.000000;
0.144531;112.000000;41.000000;57.000000;
0.146484;66.000000;41.000000;57.000000;
0.148438;43.000000;41.000000;57.000000;
0.150391;48.000000;41.000000;57.000000;
0.152344;50.000000;41.000000;57.000000;
0.154297;50.000000;41.000000;57.000000;
0.156250;48.000000;41.000000;57.000000;
0.158203;59.000000;41.000000;57.000000;
0.160156;87.000000;41.000000;57.000000;
0.162109;92.000000;41.000000;57.000000;
0.164063;81.000000;41.000000;57.000000;
0.166016;91.000000;41.000000;57.000000;
0.167969;117.000000;41.000000;57.000000;
0.169922;124.000000;41.000000;57.000000;
0.171875;105.000000;41.000000;57.000000;
0.173828;64.000000;41.000000;57.000000;
0.175781;-7.000000;41.000000;57.000000;
0.177734;-39.000000;41.000000;57.000000;
0.179688;12.000000;41.000000;57.000000;
0.181641;92.000000;41.000000;57.000000;
0.183594;113.000000;41.000000;57.000000;
0.185547;74.000000;41.000000;57.000000;
0.187500;40.000000;41.000000;57.000000;
0.189453;61.000000;41.000000;57.000000;
0.191406;117.000000;41.000000;57.000000;
0.193359;144.000000;41.000000;57.000000;
0.195313;170.000000;41.000000;57.000000;
0.197266;196.000000;41.000000;57.000000;
0.199219;162.000000;41.000000;57.000000;
0.201172;114.000000;41.000000;57.000000;
0.203125;107.000000;41.000000;57.000000;
0.205078;134.000000;41.000000;57.000000;
0.207031;163.000000;41.000000;57.000000;
0.208984;196.000000;41.000000;57.000000;
0.210938;216.000000;41.000000;57.000000;
0.212891;212.000000;41.000000;57.000000;
0.214844;196.000000;41.000000;57.000000;
0.216797;212.000000;41.000000;57.000000;
0.218750;252.000000;41.000000;57.000000;
0.220703;278.000000;41.000000;57.000000;
0.222656;272.000000;41.000000;57.000000;
0.224609;272.000000;41.000000;57.000000;
0.226563;309.000000;41.000000;57.000000;
0.228516;353.000000;41.000000;57.000000;
0.230469;389.000000;41.000000;57.000000;
0.232422;401.000000;37.000000;54.000000;
0.234375;357.000000;37.000000;54.000000;
0.236328;330.000000;37.000000;54.000000;
0.238281;341.000000;37.000000;54.000000;
0.240234;315.000000;37.000000;54.000000;
0.242188;252.000000;37.000000;54.000000;
0.244141;209.000000;37.000000;54.000000;
0.246094;162.000000;37.000000;54.000000;
0.248047;120.000000;37.000000;54.000000;
