Time,Electrode,Attention,Meditation,Rate
0,140,61,53,512
0.001953,119,61,53,
0.003906,73,61,53,
0.005859,23,61,53,
0.007813,8,61,53,
0.009766,19,61,53,
0.011719,36,61,53,
0.013672,72,61,53,
0.015625,97,61,53,
0.017578,86,61,53,
0.019531,73,61,53,
0.021484,76,61,53,
0.023438,93,61,53,
0.025391,115,75,51,
0.027344,125,75,51,
0.029297,129,75,51,
0.03125,98,75,51,
0.033203,64,75,51,
0.035156,84,75,51,
0.037109,160,75,51,
0.039063,196,75,51,
0.041016,167,75,51,
0.042969,137,75,51,
0.044922,123,75,51,
0.046875,124,75,51,
0.048828,140,75,51,
0.050781,135,75,51,
0.052734,93,75,51,
0.054688,64,75,51,
0.056641,77,75,51,
0.058594,116,75,51,
0.060547,133,75,51,
0.0625,133,75,51,
0.064453,145,75,51,
0.066406,164,75,51,
0.068359,172,75,51,
0.070313,169,75,51,
0.072266,167,75,51,
0.074219,166,75,51,
0.076172,145,75,51,
0.078125,129,75,51,
0.080078,153,75,51,
0.082031,178,75,51,
0.083984,165,75,51,
0.085938,138,75,51,
0.087891,115,75,51,
0.089844,119,75,51,
0.091797,131,75,51,
0.09375,121,75,51,
0.095703,90,75,51,
0.097656,42,75,51,
0.099609,17,75,51,
0.101563,32,75,51,
0.103516,86,75,51,
0.105469,105,75,51,
0.107422,74,75,51,
0.109375,56,75,51,
0.111328,73,75,51,
0.113281,92,75,51,
0.115234,83,75,51,
0.117188,54,75,51,
0.119141,23,75,51,
0.121094,-17,75,51,
0.123047,-51,75,51,
0.125,-60,75,51,
0.126953,-34,75,51,
0.128906,11,75,51,
0.130859,43,75,51,
0.132813,52,75,51,
0.134766,54,75,51,
0.136719,64,75,51,
0.138672,65,75,51,
0.140625,64,75,51,
0.142578,54,75,51,
0.144531,45,75,51,
0.146484,56,75,51,
0.148438,53,75,51,
0.150391,50,75,51,
0.152344,64,75,51,
0.154297,66,75,51,
0.15625,50,75,51,
0.158203,37,75,51,
0.160156,27,75,51,
0.162109,9,75,51,
0.164063,19,75,51,
0.166016,54,75,51,
0.167969,67,75,51,
0.169922,80,75,51,
0.171875,129,75,51,
0.173828,194,75,51,
0.175781,203,75,51,
0.177734,172,75,51,
0.179688,162,75,51,
0.181641,224,75,51,
0.183594,272,75,51,
0.185547,236,75,51,
0.1875,208,75,51,
0.189453,215,75,51,
0.191406,232,75,51,
0.193359,253,75,51,
0.195313,268,75,51,
0.197266,269,75,51,
0.199219,273,75,51,
0.201172,299,75,51,
0.203125,342,75,51,
0.205078,363,75,51,
0.207031,377,75,51,
0.208984,394,75,51,
0.210938,384,75,51,
0.212891,352,75,51,
0.214844,313,75,51,
0.216797,268,75,51,
0.21875,216,75,51,
0.220703,214,75,51,
0.222656,242,75,51,
0.224609,249,75,51,
0.226563,253,75,51,
0.228516,250,75,51,
0.230469,233,75,51,
0.232422,226,75,51,
0.234375,209,75,51,
0.236328,160,75,51,
0.238281,98,75,51,
0.240234,71,75,51,
0.242188,73,75,51,
0.244141,86,75,51,
0.246094,97,75,51,
0.248047,98,75,51,
0.25,88,75,51,
0.251953,58,75,51,
0.253906,18,75,51,
0.255859,-26,75,51,
0.257813,-71,75,51,
0.259766,-115,75,51,
0.261719,-149,75,51,
0.263672,-151,75,51,
0.265625,-119,75,51,
0.267578,-81,75,51,
0.269531,-77,75,51,
0.271484,-90,75,51,
0.273438,-82,75,51,
0.275391,-74,75,51,
0.277344,-85,75,51,
0.279297,-98,75,51,
0.28125,-118,75,51,
0.283203,-138,75,51,
0.285156,-135,75,51,
0.287109,-120,75,51,
0.289063,-135,75,51,
0.291016,-168,75,51,
0.292969,-151,75,51,
0.294922,-88,75,51,
0.296875,-45,75,51,
0.298828,-50,75,51,
0.300781,-57,75,51,
0.302734,-49,75,51,
0.304688,-29,75,51,
0.306641,-12,75,51,
0.308594,-17,75,51,
0.310547,-30,75,51,
0.3125,-46,75,51,
0.314453,-59,75,51,
0.316406,-38,75,51,
0.318359,-9,75,51,
0.320313,-24,75,51,
0.322266,-58,75,51,
0.324219,-40,75,51,
0.326172,-4,75,51,
0.328125,-2,75,51,
0.330078,-4,75,51,
0.332031,-11,75,51,
0.333984,-23,75,51,
0.335938,-25,75,51,
0.337891,-33,75,51,
0.339844,-12,75,51,
0.341797,-19,75,51,
0.34375,-77,75,51,
0.345703,-87,75,51,
0.347656,-2,75,51,
0.349609,82,75,51,
0.351563,89,75,51,
0.353516,64,75,51,
0.355469,70,75,51,
0.357422,73,75,51,
0.359375,66,75,51,
0.361328,105,75,51,
0.363281,168,75,51,
0.365234,181,75,51,
0.367188,132,75,51,
0.369141,80,75,51,
0.371094,60,75,51,
0.373047,82,75,51,
0.375,105,75,51,
0.376953,87,75,51,
0.378906,48,75,51,
0.380859,36,75,51,
0.382813,57,75,51,
0.384766,99,75,51,
0.386719,123,75,51,
0.388672,129,75,51,
0.390625,124,75,51,
0.392578,108,75,51,
0.394531,97,75,51,
0.396484,84,75,51,
0.398438,74,75,51,
0.400391,71,75,51,
0.402344,57,75,51,
0.404297,45,75,51,
0.40625,48,75,51,
0.408203,59,75,51,
0.410156,73,75,51,
0.412109,71,75,51,
0.414063,68,75,51,
0.416016,69,75,51,
0.417969,67,75,51,
0.419922,70,75,51,
0.421875,89,75,51,
0.423828,120,75,51,
0.425781,120,75,51,
0.427734,82,75,51,
0.429688,59,75,51,
0.431641,69,75,51,
0.433594,96,75,51,
0.435547,128,75,51,
0.4375,150,75,51,
0.439453,154,75,51,
0.441406,139,75,51,
0.443359,124,75,51,
0.445313,121,75,51,
0.447266,117,75,51,
0.449219,104,75,51,
0.451172,76,75,51,
0.453125,50,75,51,
0.455078,45,75,51,
0.457031,80,75,51,
0.458984,113,75,51,
0.460938,134,75,51,
0.462891,141,75,51,
0.464844,123,75,51,
0.466797,112,75,51,
0.46875,125,75,51,
0.470703,123,75,51,
0.472656,101,75,51,
0.474609,75,75,51,
0.476563,55,75,51,
0.478516,49,75,51,
0.480469,70,75,51,
0.482422,74,75,51,
0.484375,51,75,51,
0.486328,57,75,51,
0.488281,76,75,51,
0.490234,83,75,51,
0.492188,96,75,51,
0.494141,117,75,51,
0.496094,147,75,51,
0.498047,164,75,51,
0.5,165,75,51,
0.501953,169,75,51,
0.503906,177,75,51,
0.505859,164,75,51,
0.507813,136,75,51,
0.509766,115,75,51,
0.511719,112,75,51,
0.513672,131,75,51,
0.515625,147,75,51,
0.517578,145,75,51,
0.519531,138,75,51,
0.521484,153,75,51,
0.523438,168,75,51,
0.525391,149,75,51,
0.527344,134,75,51,
0.529297,181,75,51,
0.53125,250,75,51,
0.533203,299,75,51,
0.535156,307,75,51,
0.537109,262,75,51,
0.539063,218,75,51,
0.541016,227,75,51,
0.542969,234,75,51,
0.544922,202,75,51,
0.546875,164,75,51,
0.548828,148,75,51,
0.550781,134,75,51,
0.552734,117,75,51,
0.554688,103,75,51,
0.556641,130,75,51,
0.558594,183,75,51,
0.560547,187,75,51,
0.5625,156,75,51,
0.564453,131,75,51,
0.566406,114,75,51,
0.568359,103,75,51,
0.570313,108,75,51,
0.572266,119,75,51,
0.574219,135,75,51,
0.576172,153,75,51,
0.578125,148,75,51,
0.580078,123,75,51,
0.582031,85,75,51,
0.583984,44,75,51,
0.585938,16,75,51,
0.587891,-6,75,51,
0.589844,-29,75,51,
0.591797,-30,75,51,
0.59375,-20,75,51,
0.595703,-24,75,51,
0.597656,-38,75,51,
0.599609,-43,75,51,
0.601563,-33,75,51,
0.603516,-18,75,51,
0.605469,12,75,51,
0.607422,50,75,51,
0.609375,72,75,51,
0.611328,124,75,51,
0.613281,188,75,51,
0.615234,210,75,51,
0.617188,185,75,51,
0.619141,160,75,51,
0.621094,145,75,51,
0.623047,104,75,51,
0.625,80,75,51,
0.626953,60,75,51,
0.628906,38,75,51,
0.630859,10,75,51,
0.632813,-1,75,51,
0.634766,17,75,51,
0.636719,50,75,51,
0.638672,68,75,51,
0.640625,61,75,51,
0.642578,55,75,51,
0.644531,69,75,51,
0.646484,92,75,51,
0.648438,84,75,51,
0.650391,52,75,51,
