Time, Battery, PoorSignal, Attention, Meditation, Raw, Delta, Theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma, Blink
46:02.0,0,0,53,64,1,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,40,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,59,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,55,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,54,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,52,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,54,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,58,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,68,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,87,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,84,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,65,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,64,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,89,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,130,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,149,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,136,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,139,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,170,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,213,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,229,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,221,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,214,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,213,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,216,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,224,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,240,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,248,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,230,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,211,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,200,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,208,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,217,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,203,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,204,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,229,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,248,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,240,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,235,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,256,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,282,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,306,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,306,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,290,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,269,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,272,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,274,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,249,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,220,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,226,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,251,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,280,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,277,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,241,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,216,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,226,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,227,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,216,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,203,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,193,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,182,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,161,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,130,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,119,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,152,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,147,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,146,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,162,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,188,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,202,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,181,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,165,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,194,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,221,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,215,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,202,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,202,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,224,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,257,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,259,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,244,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,258,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,273,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,265,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,266,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,289,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,290,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,269,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,252,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,250,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,268,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,264,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,209,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,187,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,228,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,251,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,241,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,218,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,227,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,232,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,213,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,202,956484,57577,9757,3147,4033,3115,1404,1971,63
46:02.0,0,0,53,64,236,956484,57577,9757,3147,4033,3115,1404,1971,63
