Time, Battery, PoorSignal, Attention, Meditation, Raw, Delta, Theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma, Blink,
21:46:02.000694,0,0,53,64,1,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000700,0,0,53,64,40,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000701,0,0,53,64,59,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000702,0,0,53,64,55,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000703,0,0,53,64,54,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000704,0,0,53,64,52,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000709,0,0,53,64,54,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000710,0,0,53,64,58,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000711,0,0,53,64,68,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000712,0,0,53,64,87,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000718,0,0,53,64,84,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000719,0,0,53,64,65,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000720,0,0,53,64,64,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000721,0,0,53,64,89,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000722,0,0,53,64,130,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000726,0,0,53,64,149,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000727,0,0,53,64,136,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000728,0,0,53,64,139,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000729,0,0,53,64,170,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000735,0,0,53,64,213,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000736,0,0,53,64,229,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000737,0,0,53,64,221,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000738,0,0,53,64,214,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000739,0,0,53,64,213,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000744,0,0,53,64,216,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000745,0,0,53,64,224,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000746,0,0,53,64,240,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000747,0,0,53,64,248,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000753,0,0,53,64,230,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000754,0,0,53,64,211,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000755,0,0,53,64,200,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000756,0,0,53,64,208,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000757,0,0,53,64,217,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000762,0,0,53,64,203,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000763,0,0,53,64,204,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000764,0,0,53,64,229,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000765,0,0,53,64,248,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000770,0,0,53,64,240,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000771,0,0,53,64,235,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000772,0,0,53,64,256,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000773,0,0,53,64,282,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000774,0,0,53,64,306,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000779,0,0,53,64,306,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000780,0,0,53,64,290,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000781,0,0,53,64,269,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000782,0,0,53,64,272,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000788,0,0,53,64,274,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000789,0,0,53,64,249,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000790,0,0,53,64,220,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000791,0,0,53,64,226,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000792,0,0,53,64,251,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000796,0,0,53,64,280,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000797,0,0,53,64,277,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000798,0,0,53,64,241,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000799,0,0,53,64,216,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000805,0,0,53,64,226,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000806,0,0,53,64,227,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000807,0,0,53,64,216,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000808,0,0,53,64,203,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000809,0,0,53,64,193,956484,57577,9757,3147,4033,3115,1404,1971,63,
21:46:02.000814,0,0,53,64,182,956484,57577,9757,3147,4033,3115,1404,1971,63,
