Time (s);Electrode;Attention;Meditation;Sampling Rate
0;10.00000000;50;70;512
0.001953125;9.987954562;50;70;
0.00390625;9.951847267;50;70;
0.005859375;9.8917651;50;70;
0.0078125;9.807852804;50;70;
0.009765625;9.700312532;50;70;
0.01171875;9.569403357;50;70;
0.013671875;9.415440652;50;70;
0.015625;9.238795325;50;70;
0.017578125;9.039892931;50;70;
0.01953125;8.819212643;50;70;
0.021484375;8.5772861;50;70;
0.0234375;8.314696123;50;70;
0.025390625;8.032075315;50;70;
0.02734375;7.730104534;50;70;
0.029296875;7.409511254;50;70;
0.03125;7.071067812;50;70;
0.033203125;6.715589548;50;70;
0.03515625;6.343932842;50;70;
0.037109375;5.956993045;50;70;
0.0390625;5.55570233;50;70;
0.041015625;5.141027442;50;70;
0.04296875;4.713967368;50;70;
0.044921875;4.275550934;50;70;
0.046875;3.826834324;50;70;
0.048828125;3.368898534;50;70;
0.05078125;2.902846773;50;70;
0.052734375;2.429801799;50;70;
0.0546875;1.95090322;50;70;
0.056640625;1.467304745;50;70;
0.05859375;0.980171403;50;70;
0.060546875;0.490676743;50;70;
0.0625;-2.06823E-12;50;70;
0.064453125;-0.490676743;50;70;
0.06640625;-0.980171403;50;70;
0.068359375;-1.467304745;50;70;
0.0703125;-1.95090322;50;70;
0.072265625;-2.429801799;50;70;
0.07421875;-2.902846773;50;70;
0.076171875;-3.368898534;50;70;
0.078125;-3.826834324;50;70;
0.080078125;-4.275550934;50;70;
0.08203125;-4.713967368;50;70;
0.083984375;-5.141027442;50;70;
0.0859375;-5.55570233;50;70;
0.087890625;-5.956993045;50;70;
0.08984375;-6.343932842;50;70;
0.091796875;-6.715589548;50;70;
0.09375;-7.071067812;50;70;
0.095703125;-7.409511254;50;70;
0.09765625;-7.730104534;50;70;
0.099609375;-8.032075315;50;70;
0.1015625;-8.314696123;50;70;
0.103515625;-8.5772861;50;70;
0.10546875;-8.819212643;50;70;
0.107421875;-9.039892931;50;70;
0.109375;-9.238795325;50;70;
0.111328125;-9.415440652;50;70;
0.11328125;-9.569403357;50;70;
0.115234375;-9.700312532;50;70;
0.1171875;-9.807852804;50;70;
0.119140625;-9.8917651;50;70;
0.12109375;-9.951847267;50;70;
0.123046875;-9.987954562;50;70;
0.125;-10;50;70;
0.126953125;-9.987954562;50;70;
0.12890625;-9.951847267;50;70;
0.130859375;-9.8917651;50;70;
0.1328125;-9.807852804;50;70;
0.134765625;-9.700312532;50;70;
0.13671875;-9.569403357;50;70;
0.138671875;-9.415440652;50;70;
0.140625;-9.238795325;50;70;
0.142578125;-9.039892931;50;70;
0.14453125;-8.819212643;50;70;
0.146484375;-8.5772861;50;70;
0.1484375;-8.314696123;50;70;
0.150390625;-8.032075315;50;70;
0.15234375;-7.730104534;50;70;
0.154296875;-7.409511254;50;70;
0.15625;-7.071067812;50;70;
0.158203125;-6.715589548;50;70;
0.16015625;-6.343932842;50;70;
0.162109375;-5.956993045;50;70;
0.1640625;-5.55570233;50;70;
0.166015625;-5.141027442;50;70;
0.16796875;-4.713967368;50;70;
0.169921875;-4.275550934;50;70;
0.171875;-3.826834324;50;70;
0.173828125;-3.368898534;50;70;
0.17578125;-2.902846773;50;70;
0.177734375;-2.429801799;50;70;
0.1796875;-1.95090322;50;70;
0.181640625;-1.467304745;50;70;
0.18359375;-0.980171403;50;70;
0.185546875;-0.490676743;50;70;
0.1875;4.13646E-12;50;70;
0.189453125;0.490676743;50;70;
0.19140625;0.980171403;50;70;
0.193359375;1.467304745;50;70;
0.1953125;1.95090322;50;70;
0.197265625;2.429801799;50;70;
0.19921875;2.902846773;50;70;
0.201171875;3.368898534;50;70;
0.203125;3.826834324;50;70;
0.205078125;4.275550934;50;70;
0.20703125;4.713967368;50;70;
0.208984375;5.141027442;50;70;
0.2109375;5.55570233;50;70;
0.212890625;5.956993045;50;70;
0.21484375;6.343932842;50;70;
